,BRAZOS,NECHES
9/15/2022,25.38961475,22.28241462
9/16/2022,24.97169657,23.38076326
9/17/2022,27.1428661,24.97644238
9/18/2022,28.16533969,26.74880177
9/19/2022,27.99030189,27.51223454
9/20/2022,27.85053301,27.73006625
9/21/2022,28.27008975,27.70217166
9/22/2022,27.47556254,27.78346282
9/23/2022,25.86813748,28.38902259
9/24/2022,26.38877119,27.91595427
9/25/2022,27.22702165,27.40491464
9/26/2022,26.2446222,27.34487332
9/27/2022,21.73857586,20.90265009
9/28/2022,22.88200182,21.23001864
9/29/2022,24.19544823,21.89609246
9/30/2022,23.74666258,18.4512727
10/1/2022,21.42279174,18.03075567
